ranking,score,movie_name,score_num
1,9.6,肖申克的救赎,1116962
2,9.5,霸王别姬,815015
3,9.4,这个杀手不太冷,1035401
4,9.4,阿甘正传,882652
5,9.5,美丽人生,515091
6,9.3,泰坦尼克号,821022
7,9.3,千与千寻,821626
8,9.4,辛德勒的名单,466127
9,9.3,盗梦空间,909701
10,9.3,机器人总动员,599642
11,9.3,忠犬八公的故事,577582
12,9.2,三傻大闹宝莱坞,817720
13,9.2,海上钢琴师,690299
14,9.2,放牛班的春天,554332
15,9.2,大话西游之大圣娶亲,608895
16,9.1,楚门的世界,584045
17,9.2,教父,411845
18,9.1,龙猫,506965
19,9.2,星际穿越,606484
20,9.2,熔炉,337492
21,9.1,无间道,495287
22,9.2,触不可及,442243
23,9.2,乱世佳人,316873
24,9.0,当幸福来敲门,652575
25,8.9,怦然心动,695467
26,9.1,天堂电影院,352313
27,9.1,疯狂动物城,650758
28,9.1,蝙蝠侠：黑暗骑士,400113
29,9.4,十二怒汉,202704
30,9.2,鬼子来了,281727
31,9.1,活着,332177
32,9.0,少年派的奇幻漂流,680421
33,9.0,搏击俱乐部,452363
34,9.1,指环王3：王者无敌,334733
35,9.0,天空之城,392653
36,8.9,飞屋环游记,594129
37,8.9,大话西游之月光宝盒,490007
38,9.6,控方证人,128123
39,8.9,罗马假日,452607
40,9.1,窃听风暴,266223
41,9.1,两杆大烟枪,311621
42,9.0,飞越疯人院,315036
43,8.9,闻香识女人,382797
44,8.9,哈尔的移动城堡,422059
45,9.2,辩护人,260590
46,9.1,摔跤吧！爸爸,578911
47,8.8,V字仇杀队,496244
48,9.3,海豚湾,206358
49,9.0,死亡诗社,329578
50,9.1,教父2,222141
51,9.0,指环王2：双塔奇兵,314291
52,8.9,美丽心灵,352974
53,8.9,指环王1：魔戒再现,351785
54,9.1,饮食男女,240643
55,8.8,情书,433192
56,9.1,美国往事,201994
57,8.9,狮子王,329890
58,9.1,素媛,223898
59,9.0,钢琴家,232677
60,9.2,小鞋子,165560
61,8.7,七宗罪,490849
62,8.7,天使爱美丽,546461
63,8.9,被嫌弃的松子的一生,344950
64,8.8,致命魔术,397457
65,8.8,本杰明·巴顿奇事,451077
66,8.8,西西里的美丽传说,415034
67,8.9,音乐之声,265831
68,8.8,勇敢的心,328832
69,8.9,拯救大兵瑞恩,280965
70,8.7,让子弹飞,732202
71,8.8,黑客帝国,327575
72,8.8,低俗小说,387910
73,8.7,看不见的客人,426753
74,8.7,剪刀手爱德华,551682
75,8.7,沉默的羔羊,402392
76,8.7,蝴蝶效应,437469
77,9.3,大闹天宫,123198
78,8.8,入殓师,350408
79,9.0,末代皇帝,209148
80,8.8,春光乍泄,287105
81,8.8,心灵捕手,314819
82,8.9,玛丽和马克思,253561
83,8.8,阳光灿烂的日子,313141
84,8.8,哈利·波特与魔法石,313478
85,8.8,布达佩斯大饭店,375054
86,8.8,幽灵公主,267723
87,8.8,第六感,266450
88,8.7,禁闭岛,415280
89,8.7,重庆森林,380569
90,8.8,猫鼠游戏,274936
91,9.0,狩猎,154192
92,8.7,致命ID,365426
93,8.7,断背山,364097
94,8.7,大鱼,285900
95,8.8,甜蜜蜜,259100
96,8.9,穿条纹睡衣的男孩,178215
97,8.7,射雕英雄传之东成西就,312076
98,8.6,加勒比海盗,398180
99,8.7,告白,386845
100,8.9,一一,175054
101,8.8,阳光姐妹淘,305300
102,8.6,阿凡达,599967
103,9.2,摩登时代,105584
104,8.9,上帝之城,173184
105,8.7,爱在黎明破晓前,252396
106,8.7,消失的爱人,410212
107,8.8,风之谷,198954
108,8.8,侧耳倾听,195413
109,8.8,爱在日落黄昏时,224089
110,8.8,超脱,200064
111,8.6,倩女幽魂,296968
112,8.7,恐怖直播,261451
113,8.9,红辣椒,156981
114,8.9,小森林 夏秋篇,160116
115,8.6,喜剧之王,368277
116,8.7,菊次郎的夏天,213172
117,8.7,驯龙高手,325462
118,8.7,幸福终点站,251950
119,8.7,萤火虫之墓,227460
120,8.7,借东西的小人阿莉埃蒂,245038
121,8.5,神偷奶爸,435458
122,8.6,岁月神偷,336475
123,9.2,七武士,87404
124,8.7,杀人回忆,234233
125,8.8,喜宴,157857
126,8.5,贫民窟的百万富翁,430429
127,8.7,电锯惊魂,220992
128,8.6,怪兽电力公司,276763
129,8.7,谍影重重3,201442
130,8.5,真爱至上,346460
131,8.6,东邪西毒,283457
132,8.5,记忆碎片,310203
133,8.5,黑天鹅,461254
134,9.0,海洋,105317
135,8.7,疯狂原始人,412798
136,8.6,雨人,228162
137,8.9,小森林 冬春篇,138460
138,8.9,卢旺达饭店,135126
139,8.7,哈利·波特与死亡圣器(下),308978
140,8.6,英雄本色,195310
141,8.7,7号房的礼物,203175
142,8.8,萤火之森,184520
143,8.8,请以你的名字呼唤我,209311
144,8.9,虎口脱险,117197
145,8.7,燃情岁月,160080
146,8.6,心迷宫,207320
147,8.8,荒蛮故事,165816
148,8.5,傲慢与偏见,340177
149,8.6,海边的曼彻斯特,228154
150,8.8,教父3,148121
151,8.6,超能陆战队,422823
152,8.4,唐伯虎点秋香,384732
153,8.7,纵横四海,168131
154,8.5,恋恋笔记本,317097
155,9.0,完美的世界,92289
156,8.8,玩具总动员3,212911
157,8.6,蝙蝠侠：黑暗骑士崛起,328153
158,8.5,花样年华,274700
159,8.6,时空恋旅人,231394
160,8.8,魂断蓝桥,141180
161,8.5,猜火车,268901
162,8.6,穿越时空的少女,203612
163,9.0,雨中曲,101792
164,8.7,达拉斯买家俱乐部,207157
165,8.7,二十二,120377
166,8.8,我是山姆,117466
167,8.6,人工智能,210537
168,8.5,冰川时代,303184
169,9.1,无人知晓,80328
170,8.7,浪潮,146172
171,8.7,血战钢锯岭,361944
172,8.6,爆裂鼓手,264913
173,8.5,朗读者,297962
174,8.4,香水,303421
175,8.7,罗生门,140403
176,8.8,未麻的部屋,112129
177,8.5,阿飞正传,231737
178,8.6,被解救的姜戈,285450
179,8.7,可可西里,142328
180,8.7,一次别离,144632
181,8.7,头脑特工队,259340
182,8.4,恐怖游轮,364883
183,8.9,追随,89940
184,8.6,撞车,188261
185,8.6,战争之王,189517
186,8.8,房间,177724
187,8.8,地球上的星星,95102
188,8.7,梦之安魂曲,122149
189,8.8,牯岭街少年杀人事件,118867
190,8.5,魔女宅急便,216966
191,8.4,你的名字。,546776
192,8.5,谍影重重,211118
193,9.0,忠犬八公物语,68998
194,8.6,模仿游戏,284520
195,8.6,谍影重重2,175346
196,8.7,一个叫欧维的男人决定去死,140359
197,8.4,青蛇,246056
198,8.9,惊魂记,93292
199,8.6,完美陌生人,230557
200,8.9,哪吒闹海,91117
201,8.5,再次出发之纽约遇见你,192269
202,8.5,小萝莉的猴神大叔,185891
203,9.2,东京物语,57233
204,8.5,黑客帝国3：矩阵革命,173435
205,8.3,源代码,442542
206,8.5,新龙门客栈,204536
